# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 260:         5.180       52.100       1.90  DE BILT
# 269:         5.520       52.458      -3.70  LELYSTAD
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 280:         6.585       53.125       5.20  EELDE
# 283:         6.657       52.069      29.10  HUPSEL
# 290:         6.891       52.274      34.80  TWENTHE
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 319:         3.861       51.226       1.70  WESTDORPE
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 370:         5.377       51.451      22.60  EINDHOVEN
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TX
# 
  260,20170224,   87
  260,20170225,   89
  260,20170226,  106
  260,20170227,  106
  260,20170228,   65
  260,20170301,   94
  260,20170302,   82
  260,20170303,   88
  260,20170304,  132
  260,20170305,  106
  260,20170306,   95
  260,20170307,   94
  260,20170308,  106
  260,20170309,  128
  260,20170310,  112
  260,20170311,  130
  260,20170312,  148
  260,20170313,  137
  260,20170314,  149
  260,20170315,  139
  260,20170316,  168
  260,20170317,  103
  260,20170318,  127
  260,20170319,  127
  260,20170320,  115
  260,20170321,   98
  260,20170322,  124
  260,20170323,  140
  260,20170324,  142
  260,20170325,  143
  260,20170326,  130
  260,20170327,  174
  260,20170328,  197
  260,20170329,  147
  260,20170330,  218
  260,20170331,  218
  260,20170401,  141
  260,20170402,  169
  260,20170403,  143
  260,20170404,  165
  260,20170405,  128
  260,20170406,  118
  260,20170407,  138
  260,20170408,  155
  260,20170409,  210
  260,20170410,  155
  260,20170411,  138
  260,20170412,  119
  260,20170413,  133
  260,20170414,  130
  260,20170415,  121
  260,20170416,  108
  260,20170417,  109
  260,20170418,  111
  260,20170419,   83
  260,20170420,  129
  260,20170421,  149
  260,20170422,  113
  260,20170423,  114
  260,20170424,  130
  260,20170425,   99
  260,20170426,  104
  260,20170427,  109
  260,20170428,  117
  260,20170429,  140
  260,20170430,  184
  260,20170501,  137
  260,20170502,  152
  260,20170503,  152
  260,20170504,  133
  260,20170505,  111
  260,20170506,  188
  260,20170507,  162
  260,20170508,  153
  260,20170509,  138
