# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FHX      = Hoogste uurgemiddelde windsnelheid (in 0.1 m/s); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# T10N     = Minimum temperatuur op 10 cm hoogte (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,  FHX,   TX, T10N
# 
  240,20011015,   70,  214,  132
  240,20011016,   40,  169,   83
  240,20011017,   50,  200,   91
  240,20011018,   60,  185,  111
  240,20011019,   50,  183,  128
  240,20011020,   60,  207,  114
  240,20011021,   70,  159,  117
  240,20011022,   90,  142,   90
  240,20011023,   60,  142,   95
  240,20011024,   70,  141,   99
  240,20011025,   70,  162,   83
  240,20011026,   80,  156,  100
  240,20011027,   80,  157,   95
  240,20011028,   60,  156,   65
  240,20011029,  100,  147,   63
  240,20011030,  100,  177,  133
  240,20011031,  130,  156,   73
  240,20011101,   80,  131,   45
  380,20001101,  110,  110,   44
  380,20001102,   80,  133,   45
  380,20001103,   60,  109,   53
  380,20001104,   60,   86,   35
  380,20001105,   60,  101,   41
  380,20001106,  120,  121,   68
  380,20001107,   80,   96,   42
  380,20001108,   90,   93,   67
  380,20001109,  100,   94,   52
  380,20001110,   80,   91,   37
  380,20001111,   90,  105,   42
  380,20001112,  100,  115,   62
  380,20001113,   50,  104,   39
  380,20001114,   50,   93,   36
  380,20001115,   70,   97,   28
  380,20001116,   80,   96,   41
  380,20001117,   60,   70,    9
  380,20001118,  100,   84,   33
  380,20001119,  100,  101,   54
  380,20001120,  110,   75,   17
  380,20001121,   80,   83,    9
  380,20001122,   80,  112,   51
  380,20001123,   80,  124,   52
  380,20001124,   70,   94,   27
  380,20001125,   80,  101,   33
  380,20001126,  100,   88,   54
  380,20001127,   70,   94,   30
  380,20001128,   80,  144,   75
  380,20001129,   70,  142,   91
  380,20001130,   50,  133,   53
  380,20001201,   70,  139,   97
  380,20001202,   50,  138,   77
  380,20001203,  100,  119,   20
  380,20001204,   70,   95,   30
  380,20001205,   70,  135,   71
  380,20001206,   60,  128,   86
  380,20001207,   90,  144,   62
  380,20001208,  120,  151,   91
  380,20001209,   90,  116,   73
  380,20001210,  110,  113,   72
  380,20001211,  110,  136,   92
  380,20001212,  110,  136,  107
  380,20001213,  140,  125,   74
  380,20001214,  100,   92,   51
  380,20001215,   90,   58,   17
  380,20001216,   70,   44,  -11
  380,20001217,   40,   53,  -27
  380,20001218,   40,   52,  -10
  380,20001219,   60,   74,   27
  380,20001220,   70,   33,   -6
  380,20001221,   50,   31,  -56
  380,20001222,   40,   12,  -84
  380,20001223,   50,   78,  -67
  380,20001224,   30,   58,  -51
  380,20001225,   60,    8,   -9
  380,20001226,   50,   -3,  -14
  380,20001227,   40,    9,   -6
  380,20001228,   80,   30,  -11
  380,20001229,   70,   17,  -31
  380,20001230,   70,   13,  -10
  380,20001231,   60,   29,   -7
  380,20010101,   90,   76,   12
  380,20010102,  100,  117,   60
  380,20010103,   90,   92,   36
  380,20010104,  110,   94,   56
  380,20010105,  100,  104,   55
  380,20010106,   70,   92,   27
  380,20010107,   70,   68,   15
  380,20010108,   60,   64,    6
  380,20010109,   60,   58,  -11
  380,20010110,   60,   38,  -12
  380,20010111,   70,   38,    5
  380,20010112,   70,   36,  -30
  380,20010113,   70,   17,  -40
  380,20010114,   60,   16,  -48
  380,20010115,   70,   15,  -70
  380,20010116,   50,   18,  -91
  380,20010117,   20,    6,  -99
  380,20010118,   20,   35,  -55
  380,20010119,   20,   29,   -7
  380,20010120,   20,   11,  -46
  380,20010121,   60,   29,  -61
  380,20010122,   70,   87,   18
  380,20010123,  110,  117,   57
  380,20010124,  120,  120,   34
  380,20010125,   70,   80,   28
  380,20010126,   80,   66,   16
  380,20010127,   90,   57,   12
  380,20010128,   40,   68,  -31
  380,20010129,   30,   52,  -35
  380,20010130,   30,   39,  -28
  380,20010131,   40,   47,  -34
  380,20010201,   60,    8,  -17
  380,20010202,   50,   14,   -2
  380,20010203,   70,   73,    6
